price_range;Brand;Model;RAM;Storage;Color
muito alto;Apple;iPhone 14;6;512;White
médio;Realme;GT Master Edition;6;128;White
baixo;Samsung;Galaxy A20e;3;32;Black
baixo;TCL;30E;3;64;Gray
muito alto;Motorola;Razr 40;8;256;Pink
alto;Samsung;Galaxy S22;6;256;Pink
alto;Xiaomi;Shark 5;12;256;Black
médio;Motorola;Edge 30;8;128;Black
alto;Samsung;Galaxy Note 10;6;256;Purple
baixo;ZTE;Blade A31;6;32;Blue
baixo;TCL;405;2;32;Gray
médio;Xiaomi;X3;6;128;Bronze
muito alto;Samsung;Galaxy Z Fold4;12;512;Black
médio;OPPO;Reno6;8;128;Black
médio;Apple;iPhone XR;3;128;Red
muito alto;OPPO;X3;12;256;Black
baixo;Xiaomi;Redmi 10A;3;64;Silver
médio;Samsung;Galaxy A32;4;128;Black
médio;Realme;9;4;128;Black
alto;Apple;iPhone 12;4;256;Red
alto;Google;Pixel 7;8;128;White
muito alto;Apple;iPhone 13;4;256;Blue
alto;Samsung;Galaxy S23;6;256;Purple
médio;Xiaomi;Redmi Note 12;6;128;Black
muito alto;Apple;iPhone 12;4;256;Purple
médio;OnePlus;Nord N10;6;128;Blue
baixo;Apple;iPhone 7;2;32;Black
alto;Xiaomi;13;8;256;Green
baixo;Xiaomi;Redmi 10C;3;64;Green
alto;Apple;iPhone 12;4;64;Red
muito alto;Samsung;Galaxy S20;12;128;Black
alto;CAT;S62;6;128;Black
alto;Xiaomi;11T Pro;8;256;Blue
médio;Realme;9i;4;128;Blue
médio;Xiaomi;11T;8;128;Blue
muito alto;Samsung;Galaxy S21;6;128;Purple
médio;Samsung;Galaxy A14;4;128;Green
alto;Samsung;Galaxy S10;8;128;Black
baixo;Nokia;G21;4;128;Blue
baixo;Xiaomi;Redmi Note 11;4;64;Gray
muito alto;Apple;iPhone 13;4;256;Gold
baixo;Xiaomi;Redmi 10C;4;128;Green
muito alto;Apple;iPhone 13;4;256;Green
alto;Samsung;Galaxy S21;6;128;Green
alto;Apple;iPhone SE;3;256;Red
baixo;Xiaomi;Redmi A2;2;32;Blue
muito alto;Apple;iPhone 13;4;512;Pink
muito alto;Apple;iPhone 14;6;1000;Silver
alto;Apple;11 Pro;4;256;Green
muito alto;Samsung;Galaxy Z Fold4;12;256;White
muito alto;Xiaomi;13;12;256;Black
alto;Samsung;Galaxy S22;8;128;White
médio;Xiaomi;Mi 11;8;128;Gray
alto;Samsung;Galaxy Z Flip3;8;256;Black
muito alto;Apple;iPhone 14;6;1000;Gold
médio;Honor;Magic 4;6;128;Blue
alto;OPPO;Reno8;8;256;Black
médio;Realme;8I;4;128;Black
médio;Xiaomi;11 Lite;8;128;Pink
muito alto;Apple;iPhone 13;4;128;Silver
baixo;Samsung;Galaxy M13;4;64;Orange
médio;Xiaomi;11 Pro;6;128;Blue
alto;Xiaomi;12;12;256;Gray
alto;Apple;iPhone SE;3;256;White
médio;OPPO;A57s;4;128;Blue
médio;Xiaomi;11 Pro;8;128;Gray
baixo;Motorola;Moto E22;4;64;Black
baixo;OPPO;A96;8;128;Black
muito alto;Samsung;Galaxy Z Flip4;8;128;Gray
alto;Apple;iPhone 12;4;64;Black
alto;Apple;iPhone 13;4;256;Blue
